sor_id;orszag;tipus;eredeti_active;eredeti_on_order;eredeti_osszesen;itelet;ellenorzott_active;firm_on_order;tervezett_vagy_engedelyezett_nem_firm;programkeret_vagy_korrigalt_osszes;ervenyes_datum;megbizhatosag;valtozat_es_statusz_megjegyzes;forras_1;forras_url_1;forras_2;forras_url_2;reszletes_megjegyzes
11;Denmark;F-35A Lightning II;17;10;27;NEM ELLENŐRIZHETŐ;21–23 átvett;4–6 az eredeti 27-ből;16 bővítési döntés;43 tervezett;2025-10 – 2026-06;közepes;"A gépek egy része az USA-ban kiképzési feladatra állomásozik; a „rendelkezésre áll” és a „leszállított” eltérő fogalom.";"Danish Ministry of Defence fact sheet: 15 at Denmark's disposal + 6 in US training; remaining from 27 in 2026";https://www.fmn.dk/globalassets/fmn/dokumenter/2025/-faktaark_f-35_uk-.pdf;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 17/10 adat elavult. A későbbi nyílt források 21–23 átvett gépet jeleznek. A további 16-ról politikai beszerzési döntés született, de ezt célszerű külön „approved/planned” mezőben tartani a firm szállítási backlogtól.
12;Egypt;CH-47 Chinook;12;12;24;HELYESBÍTVE;"kb. 18 legacy C/D; hadrafoghatóság ismeretlen";12 CH-47F pótló rendelés;0;nem összeadható egyszerűen;2023-01-03 / 2026;közepes;"A 12 új CH-47F a régi CH-47D flotta leváltására szolgál; átmeneti átfedés lehet.";Boeing: Egypt purchases 12 new CH-47F Chinooks to replace CH-47D fleet;https://boeing.mediaroom.com/news-releases-statements?item=131196;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti sor a 12 régi aktív és 12 új rendelés látszatát kelti. A legacy flotta nyílt forrásokban nagyobb, míg az új 12 gép replacement program. A két mennyiség nem kezelhető nettó 24 gépes végállapotként.
13;Egypt;Rafale;40;14;54;NEM ELLENŐRIZHETŐ;40–42;12–14;0;54;2026-01 – 2026-08;közepes;"24 gépes első és 30 gépes második szerződés; az átadási jelentések 2 géppel eltérnek.";"Militär Aktuell: by early 2026 around 40 Rafale in service; total 54 ordered";https://militaeraktuell.at/en/dassault-further-rafale-jets-for-cairo-on-delivery/;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti 40/14 felosztás hihető, de más friss források 42 átadott gépet közölnek. Pontosítás nélkül tartományt célszerű tárolni, vagy a forrás dátumát és számlálási módszerét kötelezővé tenni.
14;France;Rafale B/C/M;145;56;201;HELYESBÍTVE;kb. 160–165 leltári állomány;45 gyártási backlog;0;234 francia összrendelés;2025-12-31;közepes;A 189 kumulált francia átadás nem azonos a jelenlegi francia flottával: exportátadások, átruházások és veszteségek korrigálandók.;Dassault Aviation 2025 Annual Report: 234 French orders, 189 delivered, 45 backlog;https://dassault-aviation.publispeak.com/2025-annual-report/doc/article/18/;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A 145/56 adat nem illeszkedik a 2025 végi gyártási adatokhoz. A pontos aktív/hadrafogható szám nem nyilvános; a 160–165 leltári becslést külön kell választani a 189 kumulált átadástól."
15;Germany;H145M / H145 katonai család;20;62;82;NEM ELLENŐRIZHETŐ;legalább 25 H145/H145M család;legfeljebb 81 a 82 új LKH-ból;0;82 új + korábbi flotta;2024-11 – 2026-08;közepes;"A régebbi SOF/SAR H145-ök és az új LKH H145M-ek egy sorban szerepelnek; az opciós 20 később lehívásra került.";"Airbus: first of up to 82 H145M delivered; Bundeswehr already operated 24 H145 helicopters";https://www.airbus.com/en/newsroom/press-releases/2024-11-airbus-delivers-first-of-up-to-82-h145m-helicopters-to-the-german;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti 20/62 a korábbi flotta és az új firm rendelés keveréke, továbbá az opció lehívása után a teljes új program 82. A 2026. augusztusi pontos leszállítási számot nem találtam kellően hiteles, naprakész forrásból.
16;Germany;P-8A Poseidon;5;3;8;HELYESBÍTVE;3;5;0;8;2026-07-22;magas;"Német haditengerészeti P-8A; a teljes firm program 8 gép.";AIN: German Navy takes delivery of three P-8s;https://www.ainonline.com/aviation-news/defense/2026-07-22/german-navy-takes-delivery-3-p-8s;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az aktív és hátralévő szám fel volt cserélve: három gép átvett, öt további gép maradt a nyolcas programból.
17;Germany;Eurofighter Typhoon;138;38;176;HELYESBÍTVE;kb. 138;58;0;kb. 196 programnézetben;2025-10-15;közepes;"38 Quadriga + 20 új Tranche 5; részben korábbi gépek pótlása, nem nettó 58-as flotta-növekedés.";Airbus: Germany orders 20 new Eurofighters;https://www.airbus.com/en/newsroom/press-releases/2025-10-germany-orders-20-new-eurofighters-to-strengthen-air-superiority;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti backlog csak a 38 Quadriga gépet tartalmazta. A 20 további firm megrendelést hozzá kell adni, de a 138+58 összeg nem értelmezhető automatikusan jövőbeli aktív flottaként a kivonások miatt.
18;Hungary;JAS 39 Gripen C/D;14;4;18;HELYESBÍTVE;18;0;0;18;2026-06-24;magas;16 Gripen C és 2 Gripen D.;Saab: Final deliveries of Hungarian Gripen fighters;https://www.saab.com/newsroom/press-releases/2026/final-deliveries-of-hungarian-gripen-fighters;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A négy új gép átadása lezárult; az adatot 18/0-ra kell frissíteni."
19;India;Rafale / Rafale Marine;36;26;62;MEGERŐSÍTVE;36 Rafale B/C;26 Rafale Marine;0;62 két külön változatban;2025-04-29;magas;A légierő 36 szárazföldi és a haditengerészet 26 hordozófedélzeti gépe külön változatként kezelendő.;"Government of India PIB: 26 Rafale-Marine deal; 36 earlier IAF Rafale";https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154353&reg=48&lang=2;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A számok helyesek, de adatmodellben két sor szükséges: Rafale B/C (IAF) és Rafale M (Indian Navy). A 62-es összeg csak országos programnézetben értelmes.
20;India;Tejas Mk1 / Mk1A;38;83;121;HELYESBÍTVE;38–40 Mk1;180 Mk1A (83+97);0;218–220;2026-07-31;közepes;"A Mk1 IOC/FOC és a Mk1A eltérő változat; külön sorba valók.";"Times of India: 40 initial Tejas; Mk1A orders in batches of 83 and 97";https://timesofindia.indiatimes.com/defence/news/make-in-india-radar-programme-to-help-tejas-track-targets-gets-rs-2205-crore-boost/articleshow/132763479.cms;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"Az eredeti adat kihagyja a 97 gépes második Mk1A-szerződést. A 38 aktív az elvesztett/ideiglenesen nem rendelkezésre álló gépek miatt lehet helyes, miközben 40 Mk1-et rendeltek és adtak át; ezért tartományt adtam."
21;Israel;F-15 változatok;83;25;108;HELYESBÍTVE;kb. 66–75 legacy F-15;25 F-15IA;25 opció;kb. 91–100 firm programnézetben;2025-12-30;közepes;F-15A/B/C/D, F-15I és új F-15IA nem vonható össze képességkülönbség nélkül.;AeroTime / Pentagon contract: 25 new F-15IA, option for 25 more;https://www.aerotime.aero/articles/boeing-pentagon-contract-israel-25-new-f-15;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A nyílt források az aktív legacy F-15-állományra eltérő számot adnak. A 25 új F-15IA firm; a további 25 opció, ezért nem számít firm backlognak."
22;Israel;F-35I Adir;42;33;75;HELYESBÍTVE;48;27;25 további század bejelentve/engedélyezési folyamatban;"75 firm; 100 cél";2026-05-03;magas;Az aktív 48 a már átvett/üzemeltetett gépekre vonatkozik.;Breaking Defense: 48 active from 75 on order;https://breakingdefense.com/2026/05/israel-buying-f35-f15-fighter-jets-netanyahu-announces/;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 42/33 felosztás elavult. A további 25-ről szóló 2026-os döntést külön kell kezelni a már firm 75 gépes programtól.
23;Italy;Eurofighter Typhoon;94;24;118;MEGERŐSÍTVE;kb. 94;24;0;118 átmeneti programnézetben;2024-09 – 2026;közepes;"A 24 új gép 26 korai Tranche 1 gépet vált ki; nem nettó 24-es növekedés.";Janes / Italian DPP: 24 new Tranche 4/4+ to replace 26 Tranche 1;https://www.janes.com/defence-intelligence-insights/defence-news/defence/italy-confirms-additional-f-35s-eurofighters;Reuters: Italy had 94 Eurofighters in service and planned 24 replacements;https://www.reuters.com/business/aerospace-defense/leonardo-executive-confident-rome-will-order-new-eurofighter-jets-2024-06-06/;A 94/24 számpár használható, de a 118-as összeg félrevezető végállapot: a 24 gép kivonandó Tranche 1-ek pótlására szolgál.
24;Italy;F-35A/B Lightning II;30;85;115;NEM ELLENŐRIZHETŐ;"legalább 30; pontos friss átadás nem igazolt";90-es korábbi szerződésből fennmaradó mennyiség;25 programbővítés;115 tervezett;2024-09 – 2026-08;közepes;F-35A és F-35B, valamint légierő és haditengerészet külön bontandó.;Janes / Italian DPP: fleet planned to rise from 90 contracted to 115;https://www.janes.com/defence-intelligence-insights/defence-news/defence/italy-confirms-additional-f-35s-eurofighters;FlightGlobal: World Air Forces 2026 (másodlagos állomány-alapvonal);https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 115 programcél megerősített, de az „active=30, on_order=85” pontos, 2026. augusztusi felosztására nem találtam kellően erős forrást. A 25-ös bővítést külön tervezett/finanszírozott mezőben célszerű tartani.
25;Japan;KC-46A Pegasus;4;9;13;HELYESBÍTVE;6;0 további firm azonosítva;9 DSCA/engedélyezett lehetséges beszerzés;"6 firm; 15 lehetséges";2026-08-01;magas;A DSCA-engedély nem azonos az aláírt szerződéssel.;"Boeing Newsroom: Japan Orders Two More Boeing KC-46A Tankers; six aircraft on contract";https://boeing.mediaroom.com/news-releases-statements?item=131179;FlightGlobal World Air Forces 2026: current inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 9 további gépet nem szabad automatikusan „on_order”-ként kezelni: a nyílt forrásokban ez lehetséges/engedélyezett eladásként jelent meg. A firm, leszállított állomány hat gép.
26;Japan;E-2D Advanced Hawkeye;13;5;18;MEGERŐSÍTVE;13;5;0;18;2026-08-01;közepes;"Csak E-2D; a régebbi E-2C-k külön sorban maradjanak.";Janes: Japan signed contract for five additional E-2Ds;https://www.janes.com/defence-intelligence-insights/defence-news/defence/japan-signed-contract-for-five-additional-e-2ds;FlightGlobal World Air Forces 2026: delivered inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A felosztás több szakforrással összhangban van, de a teljes E-2C/D vegyes flotta számlálása eltérhet. Változatszintű forrásmegjelölés szükséges.
27;Japan;F-35A/B Lightning II;40;105;145;HELYESBÍTVE;kb. 47;kb. 100;0;147;2026-08-01;közepes;"105 F-35A és 42 F-35B program; a két változat és az átvétel helye külön bontandó.";"Reuters, 2025-05-30: Japan has 147 F-35s on order; 43 F-35As delivered at that date";https://www.reuters.com/markets/europe/japan-frets-over-fighter-rollout-target-weighs-stopgap-options-sources-say-2025-05-30/;"AP/current delivery reporting on first Japanese F-35B arrivals; FlightGlobal 2026 baseline";https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 145-ös teljes program elavult: a japán program 147 gépes. A 47 körüli aktív/átvett szám a különböző átvételi és kiképzési jelentések szintézise, ezért közepes megbízhatóságú.
28;Jordan;F-16;60;12;72;HELYESBÍTVE;kb. 61;12 Block 70;0;kb. 73;2026-08-01;közepes;Legacy A/B/AM/BM/V és új Block 70 külön változatként kezelendő.;Aviation International News: Jordan signs for 12 new-generation F-16 Block 70 fighters;https://www.ainonline.com/aviation-news/defense/2023-01-25/jordan-signs-new-generation-f-16-fighters;FlightGlobal World Air Forces 2026: legacy F-16 inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az aktív állomány a nyílt leltárak szerint inkább 61 körüli. A 12 új Block 70 firm, de a legacy állomány kivonásai miatt a 73-as összeg nem jövőbeli stabil flotta.
29;Morocco;AH-64E Apache;12;12;24;MEGERŐSÍTVE;12;12;0;24;2026-04;magas;24 gépes AH-64E program két átadási szakaszban.;Aerospace Global News, 2026-04-25: Morocco has received 12 of 24 AH-64Es;https://aerospaceglobalnews.com/news/morocco-ah-64e-apache-guardian-gunships-boeing/;FlightGlobal World Air Forces 2026;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 12/12 felosztás helyes a vizsgált időpontban.
30;Morocco;F-16;45;25;70;HELYESBÍTVE;23 legacy F-16C/D;25 új F-16C/D Block 72;23 gép modernizációja F-16V szintre;48 fizikai gép;2026-08-01;magas;A 23 meglévő gép korszerűsítése nem új repülőgép-beszerzés.;F-16.net / US DSCA summary: 25 new Block 72 aircraft and upgrade of 23 existing Moroccan F-16s;https://www.f-16.net/f-16-news-article5137.html;FlightGlobal World Air Forces 2026: physical legacy inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti 45 aktív valószínűleg duplán számolta a 23 meglévő gép korszerűsítését. A fizikai flotta 23 meglévő + 25 új, nem 45 meglévő + 25 új.
31;Netherlands;F-35A Lightning II;40;12;52;HELYESBÍTVE;kb. 40;18;0;58;2026-08-01;közepes;Az eredeti 52-es programot hat további géppel 58-ra emelték.;Dutch Ministry of Defence / 2024 defence planning: six additional F-35As, raising programme from 52 to 58;;FlightGlobal World Air Forces 2026: delivered inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 40 aktív körüli szám hihető, de a backlognak 18-nak kell lennie, ha az 58 gépes bővített program firm megrendelésként szerepel.
32;Philippines;FA-50PH;12;12;24;MEGERŐSÍTVE;12;12;0;24;2025-06;magas;"Első 12 FA-50PH szolgálatban; második 12-es szerződés.";Reuters, 2025-06-04: KAI signed a contract to supply 12 additional FA-50s by 2030;https://www.reuters.com/en/south-koreas-kai-signs-700-mln-aircraft-deal-with-philippines-2025-06-04/;Reuters: earlier 12-aircraft batch delivered by 2017;https://www.reuters.com/en/south-koreas-kai-signs-700-mln-aircraft-deal-with-philippines-2025-06-04/;"A felosztás helyes. A második tétel konfigurációja eltérhet az elsőtől; változatszintű megjegyzés ajánlott."
33;Poland;F-35A Lightning II;16;48;64;NEM ELLENŐRIZHETŐ;"legalább 3 Lengyelországban; további gépek USA-kiképzésen/átvételben";32 firm programból a még át nem vett mennyiség;további 32 nem firm;32 firm;2026-06 – 2026-08;közepes;A lengyel program firm mérete 32, nem 64. A gépek egy része az USA-ban kiképzési célra marad.;Lockheed Martin, 2026-06-12: first three Polish F-35As arrived in country;https://www.f35.com/f35/news-and-features/Lockheed-Martin-Congratulates-the-Polish-Air-Force-on-First-F-35-Aircraft-Arrival-in-Country.html;"Polish F-35 programme: 32 firm aircraft; US-based training aircraft counted separately";https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti 16/48 a firm 32-es programot és egy lehetséges további 32-es bővítést keveri. A pontos, már elfogadott aktív számot a hazai és USA-ban állomásozó kiképzési gépek eltérő számlálása miatt nem rögzítem egyetlen számmal.
34;Poland;FA-50GF / FA-50PL;12;36;48;MEGERŐSÍTVE;12 FA-50GF;36 FA-50PL;0;48;2026-08-01;magas;"A GF és PL konfiguráció képességben lényegesen eltér; külön sorok ajánlottak.";Militarnyi: production/delivery of 36 FA-50PL aircraft for Poland delayed;https://militarnyi.com/en/news/production-of-fa-50pl-for-poland-delayed/;FlightGlobal World Air Forces 2026: 12 FA-50GF delivered;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A számpár helyes. A 36 FA-50PL szállítási üteme csúszott; az adatbázisban a várható első szállítás dátumát külön érdemes rögzíteni."
35;Poland;AW149;8;24;32;NEM ELLENŐRIZHETŐ;legalább 11;legfeljebb 21;0;32;2025-11-27 – 2026-08;közepes;"A 11. gépet 2025 novemberében adták át; 2026 augusztusi pontos átadási számot nem találtam kellően erős forrásból.";"Janes: first domestically built AW149 delivered; five Italian-built plus first of 27 Polish-built";https://www.janes.com/defence-intelligence-insights/defence-news/defence/first-domestically-built-aw149-delivered-to-polish-armed-forces;FlightGlobal World Air Forces 2026;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"Az eredeti 8/24 adat biztosan elavult. Minimum 11 átadott; a jelenlegi pontos felosztást további friss gyártói vagy minisztériumi forrással kell lezárni."
36;Portugal;KC-390 / C-390 Millennium;4;2;6;MEGERŐSÍTVE;4;2;0;6;2026-08-01;magas;Öt eredeti gép plusz egy további opció/utólagos bővítés eredményeként hatos program.;Embraer, 2025-09-17: Portugal contracted a sixth KC-390;https://www.embraer.com/media-center/en/?detail=22025&mediatype=NEWS;Northern Skies Aviation, 2026-06-14: fourth Portuguese aircraft received by early 2026;https://www.northernskiesaviation.com/post/2026-portuguese-k-c-390m-program-on-the-move;A 4/2 felosztás helyes a vizsgált időpontban.
37;Serbia;Mi-24 / Mi-35;15;4;19;HELYESBÍTVE;"15 leltári; nem mind hadrafogható";0;0;15;2026-08-01;közepes;"4 korábbi Mi-35M + 11 ex-ciprusi Mi-35P/Mi-24P; az ex-ciprusi gépek visszaállítása folyamatban lehet.";Associated Press: Cyprus sold 11 Mi-35 helicopters to Serbia;https://apnews.com/article/cyprus-h145-airbus-helicopter-national-guard-dda2ca9708fff4ba59023bc8d9062879;UNN/Reuters summary: Serbia purchased 11 Mi-35s requiring major repair;https://unn.ua/en/news/serbia-buys-11-mi-35-helicopters-from-cyprus-to-strengthen-its-air-force;"A négy gép nem új rendelés, hanem a már meglévő korábbi szerb állomány. A 15 fizikai gép leltári adat; az operatív mennyiség ennél alacsonyabb lehet."
38;Singapore;F-35A/B Lightning II;20;0;20;HELYESBÍTVE;0;20;0;20;2026-08-01;magas;"A szingapúri F-35 program első átadásai 2026 vége körül várhatók; A és B változat külön bontandó.";Singapore Ministry of Defence, 2025-09-12: first of 20 F-35s due at end-2026;https://www.mindef.gov.sg/news-and-events/latest-releases/12sep25-nr/;FlightGlobal World Air Forces 2026;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 20 gép nem aktív állomány, hanem megrendelt program. A sort 0/20-ra kell fordítani.
39;South Korea;AH-64E Apache;36;36;72;HELYESBÍTVE;36;0;36-os második tétel törölve/elhalasztva;36;2026-08-01;közepes;A tervezett második 36-os beszerzés költségvetési döntések miatt nem tekinthető élő firm rendelésnek.;AeroTime, 2025-07-07: South Korea expected to abandon second 36-aircraft Apache purchase after budget cut;https://www.aerotime.aero/articles/south-korea-apache-order-cancelled;Same source: 36 AH-64Es already operated, delivered in 2016–2017;https://www.aerotime.aero/articles/south-korea-apache-order-cancelled;Az eredeti 36 on_order politikai/beszerzési tervet firm rendelésként kezelt. Jelenleg 36 meglévő gép és 0 igazolt firm új megrendelés a konzervatív adat.
40;South Korea;E-7 Peace Eye;4;4;8;HELYESBÍTVE;4;0;4 új AEW&C, de nem E-7;4 E-7;2026-08-01;magas;A további négy kiválasztott rendszer Global 6500-alapú AEW&C, ezért más típussor.;The Defense Post, 2025-10-02: South Korea selected four Global 6500-based AEW&C aircraft;https://thedefensepost.com/2025/10/02/south-korea-early-warning/;Same source: four existing E-737/E-7 Peace Eye aircraft remain in service;https://thedefensepost.com/2025/10/02/south-korea-early-warning/;"A négy új AEW&C repülőgép nem E-7. Az E-7 sorban csak a négy meglévő Peace Eye maradhat; az új rendszert külön típusrekordban kell létrehozni."
41;South Korea;F-35A Lightning II;39;25;64;HELYESBÍTVE;39;20;5 csak korábbi engedélyezési keret;59 firm;2026-08-01;magas;Az USA jóváhagyási maximuma és a ténylegesen szerződött mennyiség eltér.;Yonhap / DAPA, 2023-12-27: contract signed for 20 additional F-35As;https://en.yna.co.kr/view/AEN20231227002951315;Same source: 39 active after one damaged aircraft was retired;https://en.yna.co.kr/view/AEN20231227002951315;A 25-ös szám DSCA/engedélyezési maximumként jelent meg, miközben a firm második tétel 20 gép. Ez klasszikus approval-versus-contract torzítás.
